LSOA code,LSOA name,Index of Multiple Deprivation (IMD) Rank,Index of Multiple Deprivation (IMD) Decile,Income Rank,Income Decile,Employment Rank,Employment Decile,"Education, Skills and Training Rank","Education, Skills and Training Decile",Health Deprivation and Disability Rank,Health Deprivation and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Rank,Living Environment Decile
E01000955,Camden 022D,6579,3,5633,2,5797,2,7439,3,12542,4,5240,2,14832,5,8180,3
E01000956,Camden 022E,6420,2,5146,2,7144,3,10197,4,15490,5,5745,2,12612,4,2420,1
E01000957,Camden 019C,9984,4,6345,2,8248,3,20480,7,17022,6,7863,3,10542,4,10765,4
E01000958,Camden 019D,11047,4,6933,3,11311,4,16501,6,9028,3,16078,5,14000,5,12374,4
E01000959,Camden 019E,4567,2,3570,2,5939,2,9603,3,9939,4,1818,1,11265,4,4322,2
E01000960,Camden 017A,17492,6,14178,5,20536,7,19339,6,29128,9,11846,4,8511,3,8156,3
E01000961,Camden 017B,12315,4,8389,3,8970,3,19837,7,25788,8,8400,3,15006,5,10216,4
E01000962,Camden 016A,29401,9,29249,9,30941,10,29873,10,29340,9,21478,7,15447,5,12388,4
E01000963,Camden 017C,26116,8,23658,8,30389,10,26896,9,30987,10,18440,6,17478,6,6508,2
E01000964,Camden 016B,16265,5,9223,3,13695,5,22446,7,25589,8,25367,8,8420,3,14523,5
E01000965,Camden 016C,16618,6,11070,4,16175,5,22209,7,21518,7,11520,4,17835,6,10595,4
E01000966,Camden 016D,28370,9,29273,9,31775,10,29307,9,31072,10,13923,5,12477,4,13467,5
E01000967,Camden 017D,25349,8,24531,8,27813,9,29156,9,32405,10,9591,3,18290,6,8623,3
E01000968,Camden 016E,19671,6,16112,5,20113,7,23232,8,27323,9,6603,3,21821,7,10673,4
E01000969,Camden 010A,29120,9,26957,9,31399,10,32326,10,31166,10,18594,6,22309,7,8473,3
E01000970,Camden 010B,24158,8,25148,8,28500,9,30374,10,21554,7,18589,6,18105,6,4190,2
E01000971,Camden 010C,27230,9,24584,8,26110,8,31908,10,29523,9,24029,8,23640,8,6194,2
E01000972,Camden 010D,9542,3,6182,2,6796,3,24492,8,17971,6,18022,6,6278,2,6341,2
E01000973,Camden 010E,13867,5,12290,4,14804,5,23897,8,18066,6,6557,2,12696,4,6244,2
E01000974,Camden 013E,10710,4,7844,3,9538,3,18126,6,18801,6,8151,3,9437,3,9265,3
E01000975,Croydon 022A,16380,5,16861,6,23305,8,15380,5,17368,6,14856,5,6569,3,6578,3
E01000976,Croydon 022B,10317,4,10583,4,14371,5,20191,7,9461,3,12276,4,5385,2,3045,1
E01000977,Croydon 022C,8864,3,6983,3,8518,3,18250,6,10181,4,14593,5,3737,2,11045,4
E01000978,Croydon 022D,13895,5,18537,6,19136,6,25867,8,19395,6,17421,6,1109,1,3360,2
E01000979,Croydon 022E,16495,6,17083,6,17821,6,20376,7,22779,7,21430,7,3981,2,6551,2
E01000980,Croydon 017A,9879,4,7170,3,9475,3,20204,7,9482,3,12837,4,12089,4,6702,3
E01000981,Croydon 017B,19959,7,16718,6,23183,8,19260,6,18313,6,19201,6,14792,5,9557,3
E01000982,Croydon 017C,15540,5,11691,4,17082,6,17428,6,22299,7,13682,5,11115,4,8227,3
E01000983,Croydon 017D,20498,7,21331,7,23391,8,24114,8,20119,7,17656,6,11826,4,5514,2
E01000984,Croydon 022F,7716,3,7036,3,9722,3,17496,6,5257,2,13328,5,4615,2,6248,2
E01000985,Croydon 021A,26136,8,23968,8,26068,8,24426,8,24857,8,14571,5,17812,6,18592,6
E01000986,Croydon 021B,21003,7,19001,6,20620,7,29297,9,24670,8,11473,4,9199,3,13834,5
E01000987,Croydon 021C,25290,8,26455,9,27565,9,22263,7,24882,8,13810,5,20876,7,9564,3
E01000989,Croydon 018A,21663,7,19823,7,22149,7,17361,6,21944,7,22741,7,8633,3,19103,6
E01000990,Croydon 045A,4189,2,3703,2,3416,2,6317,2,11082,4,11813,4,1903,1,11241,4
E01000991,Croydon 018B,25997,8,26270,8,27838,9,23552,8,26949,9,20914,7,7012,3,19631,6
E01000992,Croydon 014A,7019,3,7725,3,5618,2,13117,4,12304,4,6632,3,3355,2,10799,4
E01000993,Croydon 021D,21934,7,21674,7,25392,8,21060,7,22053,7,13558,5,12673,4,10606,4
E01000994,Croydon 009A,14569,5,13802,5,15517,5,21515,7,22567,7,7120,3,4790,2,12720,4
E01000995,Croydon 009B,13889,5,14099,5,17805,6,21450,7,23611,8,7688,3,4350,2,5541,2
E01000996,Croydon 009C,14397,5,13085,4,15599,5,21350,7,14542,5,11511,4,8489,3,8999,3
E01000997,Croydon 009D,12509,4,9769,3,13948,5,17065,6,14014,5,13874,5,7303,3,10583,4
E01000998,Croydon 010A,6849,3,8422,3,8031,3,15430,5,12648,4,3649,2,1848,1,6986,3
E01000999,Croydon 009E,12197,4,12751,4,14216,5,16685,6,19468,6,8661,3,10053,4,3048,1
E01001000,Croydon 010B,8917,3,11962,4,12288,4,17211,6,12034,4,2153,1,3611,2,7278,3
E01001001,Croydon 013A,5065,2,4106,2,7283,3,15477,5,11481,4,5886,2,1642,1,3443,2
E01001002,Croydon 009F,12648,4,12233,4,15849,5,15470,5,16144,5,14021,5,5994,2,5460,2
E01001003,Croydon 010C,10779,4,8508,3,13474,5,16811,6,22521,7,13092,4,2919,1,5671,2
E01001004,Croydon 015A,9626,3,6566,2,10908,4,14293,5,19671,6,13134,4,2337,1,12862,4
E01001005,Croydon 019A,11930,4,12607,4,17190,6,16682,6,16797,6,5130,2,3842,2,8824,3
E01001006,Croydon 016A,7710,3,7672,3,12785,4,12367,4,17495,6,6757,3,80,1,16343,5
E01001007,Croydon 016B,15344,5,11095,4,20203,7,17829,6,25153,8,18256,6,3073,1,11529,4
E01001008,Croydon 019B,7840,3,7231,3,11320,4,7776,3,12330,4,9446,3,3171,1,8834,3
E01001009,Croydon 019C,11542,4,10190,4,14297,5,19529,6,19638,6,10706,4,3062,1,6696,3
E01001010,Croydon 019D,3792,2,4075,2,6850,3,4750,2,12389,4,1856,1,2053,1,5907,2
E01001011,Croydon 019E,7617,3,7705,3,9596,3,13664,5,20531,7,4312,2,1465,1,7861,3
E01001012,Croydon 020A,5032,2,6292,2,9219,3,11518,4,10488,4,2621,1,810,1,4527,2
E01001013,Croydon 020B,2836,1,2862,1,4798,2,7901,3,5303,2,1680,1,1025,1,11498,4
E01001014,Croydon 024A,7895,3,10676,4,13838,5,14363,5,12765,4,3175,1,1468,1,4800,2
E01001015,Croydon 041A,11187,4,8597,3,12171,4,13591,5,17984,6,22178,7,1165,1,23914,8
E01001016,Croydon 041B,19580,6,21999,7,21376,7,24701,8,24421,8,19908,7,1136,1,22838,7
E01001017,Croydon 043A,27025,9,29612,10,30396,10,28929,9,30109,10,30905,10,2302,1,20560,7
E01001018,Croydon 044A,28945,9,29223,9,30240,10,25539,8,25133,8,18644,6,16650,6,18490,6
E01001019,Croydon 044B,30069,10,28229,9,29211,9,26729,9,27654,9,28865,9,11891,4,25646,8
E01001020,Croydon 044C,26497,9,25143,8,22849,7,21596,7,25837,8,18945,6,19872,7,20350,7
E01001021,Croydon 044D,5720,2,4619,2,7042,3,6341,2,7144,3,9130,3,2680,1,23390,8
E01001022,Croydon 044E,25335,8,25667,8,26814,9,26986,9,28853,9,15788,5,4470,2,27005,9
E01001023,Croydon 041C,11765,4,11262,4,9844,3,22719,7,14367,5,13090,4,5734,2,8925,3
E01001024,Croydon 043B,25960,8,23496,8,23019,8,26076,8,25305,8,15839,5,19325,6,18507,6
E01001025,Croydon 043C,29173,9,29305,9,30751,10,21957,7,30024,10,23068,8,12020,4,20850,7
E01001026,Croydon 043D,21373,7,15179,5,20070,7,17912,6,20635,7,23606,8,14580,5,24458,8
E01001027,Croydon 043E,23880,8,24022,8,24424,8,20924,7,26062,8,20377,7,6669,3,20371,7
E01001028,Croydon 038A,29249,9,29964,10,25430,8,30247,10,28534,9,24781,8,12204,4,19938,7
E01001029,Croydon 038B,18934,6,20222,7,19324,6,29325,9,21597,7,14321,5,2506,1,18109,6
E01001030,Croydon 038C,27962,9,28670,9,29723,10,30845,10,28640,9,16421,5,7829,3,20171,7
E01001031,Croydon 038D,28476,9,30499,10,28913,9,30438,10,27120,9,7992,3,20552,7,19483,6
E01001032,Croydon 035A,31701,10,32101,10,30592,10,31155,10,26598,9,28192,9,16691,6,23175,8
E01001033,Croydon 031A,19477,6,22048,7,26834,9,25011,8,23678,8,12881,4,6571,3,4082,2
E01001034,Croydon 031B,19092,6,20511,7,21378,7,21635,7,21692,7,21633,7,4152,2,9535,3
E01001035,Croydon 027A,15799,5,18026,6,17813,6,21642,7,10658,4,18793,6,3279,1,14806,5
E01001036,Croydon 029A,22193,7,29641,10,26443,9,27792,9,24711,8,11973,4,1928,1,18575,6
E01001037,Croydon 029B,14015,5,12919,4,17995,6,14820,5,15975,5,16333,5,10583,4,4313,2
E01001038,Croydon 029C,15646,5,17418,6,17416,6,18559,6,15171,5,19348,6,2965,1,12628,4
E01001039,Croydon 029D,26259,8,25359,8,24396,8,30929,10,29394,9,12022,4,10597,4,22412,7
E01001040,Croydon 029E,18763,6,16339,5,18694,6,20961,7,23898,8,23878,8,10276,4,6688,3
E01001041,Croydon 031C,13451,5,14452,5,14657,5,22878,7,14856,5,10957,4,7211,3,4897,2
E01001042,Croydon 024B,5333,2,7542,3,13376,5,12293,4,13966,5,215,1,2208,1,2442,1
E01001043,Croydon 027B,7324,3,9099,3,13670,5,19163,6,18528,6,1425,1,2831,1,1585,1
E01001044,Croydon 023A,24251,8,22742,7,28330,9,31599,10,28309,9,11935,4,7010,3,14696,5
E01001045,Croydon 027C,5615,2,6818,3,5841,2,16795,6,12346,4,11842,4,1639,1,1440,1
E01001046,Croydon 023B,24801,8,26262,8,30462,10,30378,10,29805,10,20647,7,3300,2,12317,4
E01001047,Croydon 027D,12736,4,16027,5,20686,7,21850,7,16229,5,5164,2,5855,2,2388,1
E01001048,Croydon 020C,8534,3,9584,3,11219,4,21326,7,13365,5,1733,1,3151,1,9413,3
E01001049,Croydon 023C,21805,7,27876,9,25666,8,31366,10,29746,10,4572,2,3232,1,20318,7
E01001050,Croydon 023D,12739,4,11751,4,17465,6,24556,8,11121,4,11019,4,2355,1,13433,5
E01001051,Croydon 030A,4553,2,3244,1,6374,2,4657,2,6946,3,6153,2,2911,1,25355,8
E01001052,Croydon 030B,3683,2,2107,1,4033,2,5281,2,10373,4,7532,3,1897,1,23713,8
E01001053,Croydon 032A,6916,3,6040,2,7708,3,5221,2,11627,4,9827,3,5872,2,13217,5
E01001054,Croydon 030C,5919,2,4560,2,5656,2,5496,2,9170,3,13421,5,4772,2,18154,6
E01001055,Croydon 032B,4623,2,4742,2,4511,2,2859,1,9504,3,8423,3,6412,2,11523,4
E01001056,Croydon 030D,4911,2,3151,1,5267,2,4206,2,11507,4,12649,4,2846,1,20809,7
E01001057,Croydon 030E,4109,2,2173,1,4931,2,3672,2,10122,4,15498,5,2009,1,24307,8
E01001058,Croydon 034A,22615,7,24166,8,22360,7,18759,6,19659,6,14851,5,9438,3,25177,8
E01001059,Croydon 034B,18690,6,16272,5,19594,6,21791,7,16346,5,24877,8,4281,2,21446,7
E01001060,Croydon 034C,13900,5,11796,4,17409,6,14923,5,22846,7,4600,2,5424,2,21782,7
E01001061,Croydon 034D,11605,4,10741,4,14102,5,11560,4,16907,6,7407,3,3952,2,19555,6
E01001062,Croydon 026A,24671,8,19900,7,22037,7,25968,8,25010,8,19236,6,15711,5,19776,7
E01001063,Croydon 026B,28486,9,24231,8,26892,9,25552,8,28206,9,21089,7,21140,7,18564,6
E01001064,Croydon 026C,21223,7,26104,8,25305,8,26431,9,28047,9,4086,2,4810,2,20804,7
E01001065,Croydon 034E,18054,6,18681,6,20762,7,20378,7,23363,8,7847,3,5813,2,15131,5
E01001066,Croydon 034F,4602,2,2735,1,4851,2,8121,3,8253,3,15323,5,1376,1,20558,7
E01001067,Croydon 041D,28333,9,32423,10,27754,9,31124,10,24444,8,27007,9,5162,2,22734,7
E01001068,Croydon 042A,16728,6,16389,5,17790,6,16711,6,25323,8,21025,7,1675,1,20859,7
E01001069,Croydon 040A,24807,8,28010,9,25557,8,27051,9,21743,7,28804,9,3013,1,23717,8
E01001070,Croydon 040B,19494,6,15820,5,18478,6,21321,7,19478,6,24709,8,5302,2,25416,8
E01001071,Croydon 042B,21108,7,20843,7,22580,7,17673,6,27103,9,20237,7,4019,2,21233,7
E01001072,Croydon 042C,26813,9,28592,9,31401,10,30769,10,26626,9,20989,7,2977,1,24547,8
E01001073,Croydon 037A,17617,6,19654,6,18436,6,28201,9,17338,6,24053,8,2177,1,11114,4
E01001074,Croydon 041E,15845,5,14419,5,19619,6,19409,6,20920,7,22300,7,2301,1,10508,4
E01001075,Croydon 040C,22665,7,22874,7,26005,8,26123,8,19548,6,24598,8,5932,2,11962,4
E01001076,Croydon 036A,5461,2,5350,2,5113,2,5615,2,8146,3,10290,4,3632,2,16447,6
E01001077,Croydon 032C,15639,5,16644,6,17531,6,9548,3,18875,6,12286,4,8850,3,14752,5
E01001078,Croydon 032D,5536,2,4658,2,6561,2,5860,2,9681,3,7122,3,2880,1,18293,6
E01001079,Croydon 036B,6279,2,5032,2,7816,3,6253,2,9929,4,21591,7,1040,1,18136,6
E01001080,Croydon 036C,2247,1,2407,1,1922,1,2931,1,4287,2,7669,3,1331,1,24226,8
E01001081,Croydon 036D,6015,2,5794,2,9070,3,3254,1,6054,2,15711,5,3651,2,15856,5
E01001082,Croydon 032E,6659,3,6570,3,6932,3,4545,2,13263,5,7526,3,4042,2,19129,6
E01001083,Croydon 003A,20660,7,18098,6,24770,8,26355,9,27056,9,11415,4,6416,2,12378,4
E01001084,Croydon 002A,19960,7,22264,7,25295,8,28468,9,23665,8,9879,4,7548,3,5534,2
E01001085,Croydon 004A,15555,5,13831,5,21226,7,21398,7,27381,9,9245,3,7295,3,3859,2
E01001086,Croydon 003B,17278,6,19166,6,22336,7,23764,8,24683,8,4300,2,5972,2,10212,4
E01001087,Croydon 003C,11394,4,14418,5,16697,6,15440,5,24306,8,5616,2,2261,1,4467,2
E01001088,Croydon 004B,17821,6,13748,5,17723,6,17399,6,25151,8,21164,7,8014,3,12820,4
E01001089,Croydon 004C,8631,3,9066,3,13999,5,16389,5,10952,4,7150,3,3136,1,3557,2
E01001090,Croydon 004D,11770,4,12043,4,16464,6,15701,5,23894,8,10811,4,2154,1,5240,2
E01001091,Croydon 004E,18543,6,18208,6,21161,7,26623,9,23923,8,5764,2,7520,3,13290,5
E01001092,Croydon 037B,14497,5,19077,6,11518,4,28657,9,18090,6,10017,4,2062,1,16006,5
E01001093,Croydon 037C,22543,7,19068,6,23591,8,23531,8,25032,8,20213,7,7298,3,18242,6
E01001094,Croydon 038E,26468,9,28544,9,28830,9,31357,10,27201,9,18897,6,4533,2,19206,6
E01001095,Croydon 031D,17663,6,13949,5,17590,6,23672,8,21912,7,15773,5,7212,3,13567,5
E01001096,Croydon 037D,28195,9,28934,9,25762,8,31958,10,28791,9,24907,8,6247,2,23447,8
E01001097,Croydon 037E,12443,4,10911,4,12527,4,19374,6,19695,6,7633,3,6155,2,10914,4
E01001098,Croydon 037F,27652,9,28936,9,29768,10,31136,10,23733,8,16407,5,8553,3,20708,7
E01001099,Croydon 040D,14611,5,11730,4,11977,4,22129,7,25307,8,20675,7,2983,1,15686,5
E01001100,Croydon 031E,26012,8,25735,8,30186,10,31081,10,28474,9,23646,8,5751,2,11147,4
E01001101,Croydon 035B,30394,10,31442,10,29348,9,29402,9,28772,9,27930,9,10411,4,22023,7
E01001102,Croydon 035C,28156,9,25534,8,26304,9,27667,9,24120,8,19767,7,18695,6,20516,7
E01001103,Croydon 039A,28082,9,25420,8,21670,7,24655,8,27304,9,26797,9,16747,6,26211,8
E01001104,Croydon 042D,29727,10,30221,10,29733,10,29695,10,28145,9,21508,7,17354,6,13813,5
E01001105,Croydon 039B,13713,5,14003,5,14663,5,14636,5,12662,4,17404,6,3648,2,18737,6
E01001106,Croydon 039C,21553,7,19727,7,19551,6,16624,6,19619,6,19165,6,14572,5,22130,7
E01001107,Croydon 035D,28273,9,30619,10,29469,9,31439,10,30422,10,27760,9,4029,2,19425,6
E01001108,Croydon 035E,30386,10,31163,10,31235,10,30447,10,32218,10,23847,8,7994,3,23561,8
E01001109,Croydon 013B,7046,3,6568,2,7647,3,10927,4,16096,5,9522,3,2311,1,6748,3
E01001110,Croydon 020D,3477,2,4820,2,6608,3,12676,4,3767,2,2779,1,2567,1,1631,1
E01001111,Croydon 010D,8781,3,9867,4,11285,4,14425,5,14357,5,4131,2,6294,2,4000,2
E01001112,Croydon 013C,7851,3,5196,2,9031,3,15207,5,8387,3,12864,4,2943,1,17326,6
E01001113,Croydon 013D,8829,3,9452,3,10005,4,14778,5,18112,6,6145,2,3137,1,5741,2
E01001114,Croydon 013E,3866,2,4035,2,6683,3,7040,3,7053,3,3901,2,1257,1,7534,3
E01001115,Croydon 015B,3186,1,3724,2,5471,2,10212,4,5861,2,755,1,1463,1,9119,3
E01001116,Croydon 013F,8560,3,9835,3,10112,4,15517,5,14084,5,5006,2,4516,2,4629,2
E01001117,Croydon 015C,9323,3,11890,4,14031,5,18335,6,16702,6,7188,3,995,1,4100,2
E01001118,Croydon 020E,4115,2,3662,2,4753,2,13330,5,9396,3,2836,1,1756,1,9037,3
E01001119,Croydon 034G,25971,8,28382,9,25113,8,20119,7,28426,9,28188,9,4378,2,27764,9
E01001120,Croydon 033A,24489,8,24604,8,24293,8,21028,7,21362,7,18908,6,21107,7,11194,4
E01001121,Croydon 039D,28016,9,29947,10,29267,9,24901,8,25244,8,21778,7,6714,3,27491,9
E01001122,Croydon 033B,25084,8,29996,10,31846,10,25499,8,28378,9,26410,9,1732,1,17042,6
E01001123,Croydon 033C,25485,8,29516,9,27751,9,22631,7,26578,9,17702,6,4739,2,22884,7
E01001124,Croydon 033D,29636,10,30874,10,29452,9,29713,10,27321,9,25666,8,8872,3,21957,7
E01001125,Croydon 033E,22109,7,19084,6,19674,6,21064,7,19658,6,18556,6,17542,6,18170,6
E01001126,Croydon 034H,28547,9,28081,9,30157,10,23751,8,25922,8,25219,8,12654,4,17622,6
E01001127,Croydon 025A,25246,8,22432,7,22434,7,23138,8,27820,9,14792,5,19524,6,18743,6
E01001128,Croydon 025B,5944,2,3716,2,6508,2,6957,3,13883,5,8287,3,3481,2,18325,6
E01001129,Croydon 026D,30882,10,31018,10,28046,9,25020,8,29574,10,24178,8,20765,7,22857,7
E01001130,Croydon 025C,5163,2,2333,1,6284,2,8498,3,16012,5,11554,4,1192,1,19676,6
E01001131,Croydon 018C,21386,7,19667,6,28202,9,18831,6,24254,8,28005,9,2508,1,18977,6
E01001132,Croydon 018D,25449,8,25825,8,23657,8,21576,7,25014,8,18003,6,13664,5,19076,6
E01001133,Croydon 026E,22956,7,18980,6,21627,7,19348,6,24514,8,23339,8,14309,5,16560,6
E01001134,Croydon 018E,24648,8,21537,7,25459,8,23109,8,27959,9,23937,8,7079,3,20097,7
E01001135,Croydon 025D,26298,9,22196,7,27558,9,21278,7,30596,10,17995,6,14629,5,18497,6
E01001136,Croydon 007A,6706,3,8366,3,9866,4,15504,5,13961,5,4531,2,3128,1,1401,1
E01001137,Croydon 001A,11694,4,11374,4,9995,4,26777,9,17779,6,3712,2,7040,3,12754,4
E01001138,Croydon 001B,15577,5,13734,5,17490,6,24733,8,22404,7,7560,3,4898,2,12802,4
E01001139,Croydon 007B,14729,5,14786,5,17188,6,18594,6,24255,8,10050,4,6439,2,5375,2
E01001140,Croydon 007C,12982,4,11845,4,17351,6,16873,6,16404,5,11138,4,4177,2,9100,3
E01001141,Croydon 008A,9313,3,7504,3,8781,3,18146,6,17911,6,11525,4,2227,1,11767,4
E01001142,Croydon 007D,13217,5,14575,5,16028,5,21793,7,15992,5,3278,1,8935,3,8461,3
E01001143,Croydon 008B,7941,3,8796,3,10266,4,13099,4,13493,5,11099,4,1133,1,6502,2
E01001144,Croydon 007E,5183,2,6262,2,4689,2,12734,4,7741,3,10398,4,2155,1,4684,2
E01001145,Croydon 008C,4281,2,3243,1,5135,2,13070,4,10921,4,5224,2,2821,1,3899,2
E01001146,Croydon 006A,14580,5,12825,4,14155,5,19396,6,23311,8,14011,5,8855,3,5915,2
E01001147,Croydon 005A,6270,2,6387,2,8152,3,6999,3,10990,4,8392,3,2952,1,7473,3
E01001148,Croydon 005B,11948,4,9952,4,15377,5,20123,7,13029,4,13656,5,7935,3,4278,2
E01001149,Croydon 006B,17888,6,16139,5,18863,6,20728,7,21369,7,14808,5,7014,3,12406,4
E01001150,Croydon 006C,13899,5,12388,4,17088,6,23750,8,23765,8,5983,2,4334,2,9315,3
E01001151,Croydon 005C,4019,2,5531,2,4412,2,8053,3,7507,3,4047,2,2439,1,5371,2
E01001152,Croydon 005D,5158,2,5237,2,7464,3,14918,5,9655,3,3937,2,3098,1,2356,1
E01001153,Croydon 006D,12275,4,11552,4,13772,5,14795,5,22014,7,8381,3,6222,2,7619,3
E01001154,Croydon 006E,8530,3,9582,3,12639,4,12537,4,22522,7,4695,2,3309,2,2613,1
E01001155,Croydon 010E,3291,2,2838,1,5169,2,11442,4,4815,2,4918,2,873,1,8574,3
E01001156,Croydon 001C,10027,4,8474,3,12869,4,16192,5,8418,3,17206,6,2371,1,14290,5
E01001157,Croydon 002B,15973,5,14352,5,18142,6,21674,7,23020,8,5632,2,8766,3,11391,4
E01001158,Croydon 005E,13982,5,12824,4,16169,5,16748,6,18848,6,16453,6,4753,2,8133,3
E01001159,Croydon 002C,19487,6,17482,6,23608,8,25298,8,25792,8,13747,5,3759,2,14104,5
E01001160,Croydon 002D,20215,7,15346,5,20496,7,20283,7,23985,8,15497,5,12843,4,16031,5
E01001161,Croydon 003D,3575,2,2426,1,3696,2,7092,3,7272,3,9006,3,1878,1,16155,5
E01001162,Croydon 001D,8850,3,8681,3,8869,3,16356,5,15275,5,7341,3,2947,1,9485,3
E01001163,Croydon 002E,17644,6,17867,6,19193,6,24833,8,25019,8,10035,4,10622,4,4792,2
E01001164,Croydon 001E,13940,5,12256,4,14782,5,23370,8,22368,7,10231,4,4612,2,8708,3
E01001165,Croydon 024C,11281,4,13105,4,13367,5,17594,6,18675,6,5610,2,4607,2,5658,2
E01001166,Croydon 024D,7025,3,6630,3,11273,4,13870,5,6112,2,13348,5,1355,1,8144,3
E01001167,Croydon 028A,12891,4,12396,4,16288,5,20693,7,16949,6,10037,4,3799,2,7667,3
E01001168,Croydon 024E,13421,5,16531,6,21297,7,18835,6,14710,5,8448,3,4722,2,3585,2
E01001169,Croydon 028B,6795,3,5890,2,7456,3,8955,3,8000,3,15799,5,2961,1,12392,4
E01001170,Croydon 027E,9544,3,10809,4,10595,4,23048,8,9872,4,8068,3,5300,2,3926,2
E01001171,Croydon 028C,11031,4,10301,4,10494,4,14907,5,17070,6,20282,7,1679,1,15106,5
E01001172,Croydon 028D,3467,2,2559,1,4112,2,5330,2,7770,3,8838,3,1491,1,14930,5
E01001173,Croydon 028E,14566,5,12490,4,15303,5,21305,7,16188,5,16598,6,3155,1,17538,6
E01001174,Croydon 011A,12417,4,10203,4,14910,5,15001,5,23335,8,5226,2,6965,3,12026,4
E01001175,Croydon 011B,7742,3,8674,3,8026,3,20194,7,11149,4,4401,2,4006,2,5753,2
E01001176,Croydon 011C,12219,4,12660,4,16493,6,19632,6,23091,8,4792,2,3132,1,7639,3
E01001177,Croydon 016C,7251,3,7178,3,7412,3,16305,5,11079,4,8329,3,2392,1,8067,3
E01001178,Croydon 015D,1096,1,252,1,2336,1,7634,3,2370,1,9037,3,652,1,7485,3
E01001179,Croydon 016D,13775,5,12613,4,19461,6,18854,6,23623,8,8834,3,7671,3,3204,1
E01001180,Croydon 016E,9127,3,8878,3,14734,5,17687,6,19888,7,5548,2,4094,2,1760,1
E01001181,Croydon 015E,3607,2,4012,2,6113,2,13745,5,7998,3,3522,2,870,1,2493,1
E01001182,Croydon 011D,13038,4,12810,4,16762,6,18012,6,19789,7,6455,2,6239,2,6765,3
E01001183,Croydon 011E,11301,4,10633,4,12745,4,16051,5,21982,7,7764,3,3318,2,9614,3
E01001184,Croydon 011F,17067,6,15891,5,19569,6,21478,7,21069,7,8660,3,8852,3,10270,4
E01001185,Croydon 014B,14358,5,13270,5,16210,5,15767,5,18245,6,14215,5,5511,2,10735,4
E01001186,Croydon 014C,8461,3,7620,3,7879,3,15462,5,11356,4,13286,5,3068,1,10830,4
E01001187,Croydon 017E,13847,5,13251,5,14283,5,17936,6,21619,7,16812,6,5530,2,5825,2
E01001188,Croydon 014D,8950,3,8144,3,10412,4,15296,5,16133,5,4857,2,4695,2,8140,3
E01001189,Croydon 045B,16383,5,16141,5,12821,4,19464,6,22075,7,11075,4,10238,4,13728,5
E01001190,Croydon 045C,9331,3,8437,3,10577,4,18562,6,12573,4,12889,4,3646,2,5300,2
E01001191,Croydon 008D,5914,2,5617,2,8237,3,18064,6,12376,4,5507,2,2549,1,2108,1
E01001192,Croydon 008E,9166,3,9062,3,10440,4,15674,5,13483,5,5652,2,3418,2,11070,4
E01001193,Croydon 014E,6123,2,4905,2,5036,2,10061,4,11700,4,15612,5,1414,1,19763,7
E01001194,Croydon 045D,15918,5,14799,5,19399,6,15884,5,21792,7,5801,2,12586,4,10068,4
E01001195,Ealing 021A,19967,7,18654,6,29742,10,21417,7,27642,9,12182,4,3206,1,12898,4
E01001196,Ealing 015A,4857,2,4249,2,4644,2,17112,6,7395,3,10824,4,2644,1,4114,2
E01001197,Ealing 021B,12321,4,12413,4,11005,4,24736,8,16214,5,11014,4,4745,2,8289,3
E01001198,Ealing 021C,19095,6,21058,7,19259,6,30661,10,22394,7,11615,4,7223,3,7221,3
E01001199,Ealing 021D,12563,4,8204,3,11671,4,20200,7,16752,6,18475,6,6197,2,13650,5
E01001200,Ealing 025A,17969,6,18773,6,18163,6,29112,9,18028,6,11467,4,7471,3,9216,3
E01001201,Ealing 025B,16425,6,14729,5,17119,6,24498,8,24152,8,12909,4,7371,3,6451,2
E01001202,Ealing 025C,6344,2,6258,2,7681,3,20555,7,14703,5,2457,1,2679,1,4702,2
E01001203,Ealing 025D,6778,3,5391,2,6540,2,21539,7,10413,4,13036,4,3094,1,4383,2
E01001204,Ealing 018A,20285,7,14379,5,18935,6,30598,10,24671,8,22903,7,8098,3,13093,4
E01001205,Ealing 018B,7545,3,7610,3,7924,3,21222,7,20350,7,9249,3,91,1,11586,4
E01001206,Ealing 018C,3637,2,1821,1,3675,2,9401,3,15495,5,20857,7,50,1,16463,6
E01001207,Ealing 018D,17745,6,17116,6,19694,6,28810,9,21831,7,12727,4,8362,3,5173,2
E01001208,Ealing 018E,22354,7,22542,7,24053,8,31508,10,27805,9,9586,3,16656,6,5458,2
E01001209,Ealing 013A,28190,9,27365,9,28860,9,32278,10,29701,10,19145,6,18143,6,8678,3
E01001210,Ealing 016A,2075,1,1051,1,1609,1,11777,4,7815,3,17629,6,17,1,11614,4
E01001211,Ealing 013B,24028,8,19468,6,23081,8,32297,10,27261,9,15173,5,10605,4,17410,6
E01001212,Ealing 018F,20550,7,19768,7,15194,5,31253,10,21968,7,24227,8,8963,3,11309,4
E01001213,Ealing 023A,8943,3,8913,3,11242,4,10853,4,16850,6,8807,3,2621,1,8065,3
E01001214,Ealing 023B,18010,6,18555,6,16580,6,15649,5,23887,8,20331,7,6702,3,12485,4
E01001215,Ealing 023C,7934,3,8533,3,13528,5,15222,5,11828,4,3533,2,2682,1,5075,2
E01001216,Ealing 023D,12636,4,14093,5,18466,6,17031,6,19995,7,10643,4,2269,1,5415,2
